line,student_id,first_name,last_name,email,courses
1,0000217e-c7c1-4d2d-be1d-25c688876bb7,Karen,Morgan,dlucas@example.com,16
2,0025dffe-7dde-4125-9821-9a5c56fa6c85,Eugene,Mcdonald,christopher98@example.com,14 8
3,004bd9ad-a692-4bbc-885d-a5c7a56f7148,Stephanie,Cook,dunnjustin@example.net,13 4 3 6
4,00538933-a590-40ee-95cf-93e00d2807fb,Alison,Sanchez,andrew64@example.com,17 9
5,0057664c-1c6d-4199-9a8c-52b1e8a7b353,Steven,Wang,lmcintosh@example.net,15 19 22 8
6,0063f160-80d6-44a0-ab6a-a1248d798f8c,David,Chan,megan59@example.com,7
7,0067feff-454e-447e-b0c2-b9835eab7dac,Susan,Davis,christophercooper@example.com,13 12 15
8,006912df-2941-4a6a-8996-f1e50b548e4c,Edward,Willis,westshane@example.net,18 6 22 14 20
9,0070e573-2a68-4921-8740-668031cf7a87,Emily,Sparks,davidhayes@example.net,5 14 19 1
10,007671cd-9265-419f-80ca-1273fd610bde,Caleb,Riley,johnnyhubbard@example.org,4
11,007a059d-b011-43a6-bb17-f3e76dbc79d6,Xavier,Moore,leonardtimothy@example.com,14
12,008336cf-7319-4677-b67f-245adc36e77a,Michael,Bell,maria62@example.org,2
13,009a6362-9385-4adf-a46b-99db7df991c4,Travis,Green,rodriguezdaniel@example.org,12 22 19 18
14,00aa7f3d-f6fe-42e7-a153-9f9ebe8c97d5,Denise,Hunt,nicoledavis@example.com,12 17 2
15,00b06c3a-3a36-459a-bf86-e3a58c631387,Ashley,Klein,ycarpenter@example.com,17 16
16,00f909b1-9e6e-4ada-9040-01f5ceea9200,Brian,Harvey,craigmorris@example.com,5 21 4 15
17,00f98dfc-cdd4-40f0-bf41-86aba33d42cb,Rachael,Wilson,nharris@example.com,6 9 13
18,01064de9-1756-4b17-a2e9-0fe0888a5bc5,William,Wright,barryreynolds@example.org,11 16 2
19,01120640-a988-4625-bcd0-991ae4e9405c,Jaclyn,Johns,stephaniebell@example.org,12 4 22 7 14
20,012d10fb-26de-47a0-902c-a332a6d57b47,Emily,Rodriguez,carlos21@example.com,2 6 5
21,012ed15e-7f30-42f0-8601-4e6f37e48cb1,Mary,Mendoza,estradayvonne@example.com,16 5 9
22,014094ec-a366-44c2-b33c-0b8340fe0393,David,Cooke,suzannefrench@example.net,16 13 8 18
23,0155fe18-8acc-4c42-bd05-4925547af415,Jacqueline,Mcpherson,kevinsandoval@example.org,6 2 22
