student_id,name,program,year
1,Allison Hill,Electrical Engineering,Sophomore
2,Noah Rhodes,Computer Science,Senior
3,Angie Henderson,Physics,Sophomore
4,Daniel Wagner,Mathematics,Sophomore
5,Cristian Santos,Mechanical Engineering,Sophomore
6,Connie Lawrence,Electrical Engineering,Senior
7,Abigail Shaffer,Finance,Sophomore
8,Gina Moore,Marketing,Junior
9,Gabrielle Davis,Computer Science,Sophomore
10,Ryan Munoz,Information Technology,Sophomore
11,Monica Herrera,Mathematics,Senior
12,Jamie Arnold,Marketing,Sophomore
13,Lisa Hensley,Finance,Sophomore
14,Michele Williams,Mechanical Engineering,Senior
15,Dylan Miller,Mechanical Engineering,Senior
16,Brian Ramirez,Biology,Sophomore
17,Holly Wood,Economics,Senior
18,Derek Zuniga,Physics,Sophomore
19,Lisa Jackson,Civil Engineering,Sophomore
20,Carla Gray,Mechanical Engineering,Junior
21,Margaret Hawkins DDS,Chemistry,Junior
22,Patty Perez,Data Science,Sophomore
23,Ethan Adams,Civil Engineering,Junior
24,Tommy Walter,Information Technology,Sophomore
25,Matthew Foster,Biology,Sophomore
26,Judy Baker,Chemistry,Junior
27,Justin Baker,Marketing,Junior
28,Stephanie Ross,Civil Engineering,Sophomore
29,Zachary Hicks,Mechanical Engineering,Junior
30,Anthony Rodriguez,Finance,Sophomore
31,Rebecca Henderson,Biology,Sophomore
32,James Ferrell,Finance,Junior
33,Tricia Valencia,Psychology,Senior
34,Nathan Maldonado,Marketing,Junior
35,Debra Davidson,Marketing,Sophomore
36,Jeffrey Chavez,Mechanical Engineering,Sophomore
37,Sherri Baker,Computer Science,Senior
38,Cassandra Gaines,Mathematics,Junior
39,Elizabeth Fowler,Information Technology,Sophomore
40,Brittany Farmer,Psychology,Sophomore
41,Paula Moreno,Biology,Junior
42,Fred Smith,Economics,Senior
43,Sherry Decker,Psychology,Junior
44,Anthony Humphrey,Data Science,Junior
45,Angelica Tucker,Chemistry,Sophomore
46,Philip Cannon,Electrical Engineering,Junior
47,John Pierce,Mechanical Engineering,Senior
48,Shane Henderson,Electrical Engineering,Sophomore
49,Joshua Blair,Marketing,Senior
50,Eric Carney,Data Science,Senior
51,Jessica Holmes,Mechanical Engineering,Sophomore
52,Danny Morgan,Data Science,Junior
53,Crystal Robinson,Biology,Junior
54,Mark Perez,Electrical Engineering,Senior
55,Shannon Jones,Finance,Sophomore
56,Michael Lewis,Electrical Engineering,Junior
57,Timothy Duncan,Psychology,Sophomore
58,Richard Aguirre,Mathematics,Sophomore
59,Brent Jordan,Civil Engineering,Junior
60,John Daniel,Biology,Junior
61,Victoria Garcia,Information Technology,Sophomore
62,Gerald Hensley,Marketing,Senior
63,Connor West,Chemistry,Sophomore
64,Donald Wright,Electrical Engineering,Junior
65,Jessica Callahan,Biology,Senior
66,Amber Kidd,Economics,Sophomore
67,Tracy House,Physics,Sophomore
68,Carol Tucker,Mathematics,Senior
69,James Brown,Finance,Senior
70,William Baker,Physics,Senior
71,Jordan Henderson,Marketing,Junior
72,Whitney Peters,Marketing,Junior
73,Brittney Phillips,Chemistry,Sophomore
74,Lauren Daniels,Data Science,Senior
75,Amy Silva,Economics,Sophomore
76,Sarah Moore,Civil Engineering,Sophomore
77,Angela Lopez,Psychology,Sophomore
78,Megan Young,Data Science,Senior
79,Steve Sanchez,Data Science,Senior
80,Lisa Barnes,Biology,Senior
81,Kelly Donovan,Information Technology,Junior
82,Mike Allen,Biology,Senior
83,Michael Evans,Economics,Senior
84,Paul Jones,Physics,Senior
85,Zachary Ferrell,Psychology,Sophomore
86,Daniel Baker,Electrical Engineering,Senior
87,Shirley Suarez,Information Technology,Senior
88,Christopher Bass,Finance,Junior
89,Lisa Archer,Civil Engineering,Senior
90,Aimee Montoya,Chemistry,Sophomore
91,Matthew Mcmillan,Physics,Junior
92,Brian Rodriguez,Data Science,Junior
93,Denise Jacobs,Computer Science,Senior
94,Christina Walters,Mechanical Engineering,Junior
95,John Whitehead,Finance,Sophomore
96,Anna Henderson,Finance,Sophomore
97,Aaron Wise,Psychology,Senior
98,Deborah Figueroa,Physics,Senior
99,Jessica Smith,Finance,Senior
100,Stephen Mckee,Mathematics,Sophomore
101,Sandra Aguilar,Chemistry,Sophomore
102,Cameron Parker,Finance,Senior
103,Rebecca Valencia,Computer Science,Senior
104,Christine Wright,Chemistry,Junior
105,Richard Henson,Computer Science,Sophomore
106,Marc Moore,Chemistry,Junior
107,Sharon Cherry,Mathematics,Sophomore
108,Sierra Johnson,Mathematics,Senior
109,Evelyn Galvan,Information Technology,Sophomore
110,Sharon Cochran,Mechanical Engineering,Junior
111,Richard Rodriguez,Psychology,Sophomore
112,Shannon Walker,Civil Engineering,Senior
113,Julia Torres,Civil Engineering,Sophomore
114,Crystal Johnson,Data Science,Senior
115,Garrett Lin,Economics,Senior
116,Diana May,Data Science,Junior
117,William Herrera,Finance,Senior
118,Ashley Waller,Biology,Sophomore
119,Victor Baker,Finance,Senior
120,Jeffrey Chandler,Mechanical Engineering,Sophomore
121,Larry Dixon,Mechanical Engineering,Junior
122,Kenneth Scott,Biology,Senior
123,April Frost,Electrical Engineering,Junior
124,Michelle Harmon,Economics,Senior
125,Helen Jones,Economics,Sophomore
126,Erin Edwards,Mathematics,Sophomore
127,Michelle Evans,Information Technology,Junior
